#,Modelo,Março,Abril,Diferenca
1,FIAT/STRADA,9935,5915,-24.60
2,GM/ONIX,8282,5878,-10.10
3,HYUNDAI/HB20,8363,5095,-22.80
4,VW/POLO,8197,4728,-26.90
5,GM/ONIX PLUS,7104,4313,-23.10
6,FIAT/ARGO,6171,4031,-17.30
7,FIAT/MOBI,6384,3860,-23.40
8,HONDA/HR-V,4062,3796,18.40
9,HYUNDAI/CRETA,5851,3669,-20.60
10,JEEP/COMPASS,6987,3614,-34.50
11,VW/T CROSS,5420,3389,-20.80
12,GM/TRACKER,5431,3222,-24.90
13,TOYOTA/COROLLA CROSS,4511,3209,-9.90
14,FIAT/CRONOS,3442,2948,8.50
15,FIAT/TORO,5607,2890,-34.70
16,VW/NIVUS,3210,2793,10.20
17,FIAT/PULSE,4276,2690,-20.30
18,TOYOTA/COROLLA,3865,2613,-14.40
19,TOYOTA/HILUX,4362,2591,-24.80
20,GM/MONTANA,3988,2508,-20.30
21,RENAULT/KWID,6704,2457,-53.60
22,NISSAN/KICKS,4844,2421,-36.70
23,VW/SAVEIRO,2637,2353,13.00
24,GM/S10,2701,2326,9.10
25,JEEP/RENEGADE,4674,2222,-39.80
26,FIAT/FASTBACK,3605,1938,-31.90
27,VW/VIRTUS,1562,1671,35.50
28,CITROEN/C3,2035,1402,-12.70
29,TOYOTA/YARIS HB,2016,1376,-13.50
30,JEEP/COMMANDER,2522,1333,-33.10
31,HYUNDAI/HB20S,2025,1300,-18.70
32,PEUGEOT/208,2101,1175,-29.20
33,FORD/RANGER,1978,981,-37.20
34,RENAULT/DUSTER,2031,943,-41.20
35,FIAT/FIORINO,1634,941,-27.10
36,TOYOTA/HILUX SW4,1412,882,-20.90
37,RENAULT/OROCH,1208,839,-12.00
38,GM/SPIN,1781,830,-41.00
39,HONDA/CITY,1248,758,-23.10
40,TOYOTA/YARIS SEDAN,932,716,-2.70
41,HONDA/CITY HATCH,1340,702,-33.60
42,RENAULT/MASTER,788,689,10.80
43,MITSUBISHI/L200,952,636,-15.40
44,VW/AMAROK,601,591,24.60
45,NISSAN/VERSA,741,510,-12.80
46,VW/TAOS,855,504,-25.30
47,CAOA CHERY/TIGGO 8,653,465,-9.80
48,RAM/3500,553,439,0.60
49,CAOA CHERY/TIGGO 5X,479,404,6.80
50,NISSAN/SENTRA,453,378,5.70
51,NISSAN/FRONTIER,571,344,-23.70
52,CAOA CHERY/TIGGO 7,475,333,-11.20
53,BMW/X1,245,304,57.20
54,VW/GOL,741,274,-53.20
55,RENAULT/SANDERO,658,250,-51.90
56,BMW/320I,551,250,-42.50
57,FORD/TRANSIT,337,239,-10.20
58,GM/EQUINOX,342,231,-14.40
59,FIAT/SCUDO,378,194,-35.00
60,CITROEN/C4 CACTUS,564,194,-56.40
61,GM/TRAILBLAZER,210,167,0.70
62,MITSUBISHI/ECLIPSE CROSS,258,161,-21.00
63,KIA/K2500,286,160,-29.10
64,FORD/MAVERICK,80,151,139.10
65,AUDI/Q5,201,146,-8.00
66,MAN-VW/EXPRESS,224,136,-23.10
67,CITROEN/JUMPY,231,132,-27.60
68,VOLVO/XC60,504,132,-66.80
69,PORSCHE/MACAN,228,125,-30.60
70,RENAULT/LOGAN,240,120,-36.70
71,LAND ROVER/DEFENDER,106,117,39.80
72,M.BENZ/SPRINTER 315,157,115,-7.20
73,PORSCHE/CAYENNE,195,115,-25.30
74,PEUGEOT/2008,182,108,-24.80
75,LAND ROVER/DISCOVERY,202,103,-35.40
76,RAM/CLASSIC,251,102,-48.50
77,VOLVO/XC40,117,102,10.40
78,VOLVO/XC90,120,101,6.60
79,AUDI/Q3,150,98,-17.20
80,GM/CRUZE SEDAN,83,98,49.60
81,IVECO/DAILY,125,83,-15.90
82,MITSUBISHI/PAJERO,155,81,-33.80
83,FORD/TERRITORY,144,77,-32.30
84,LAND ROVER/RANGE ROVER,72,75,31.90
85,KIA/STONIC,116,72,-21.40
86,RAM/2500,191,69,-54.20
87,BYD/YUAN PLUS,85,68,1.30
88,M.BENZ/GLE,102,67,-16.80
89,KIA/SPORTAGE,69,66,21.20
90,M.BENZ/CLASSE GLB,147,65,-44.00
91,RAM/1500,176,64,-53.90
92,SUZUKI/JIMNY SIERRA,105,63,-24.00
93,PEUGEOT/EXPERT,154,60,-50.60
94,BMW/X6,81,51,-20.20
95,CAOA CHERY/ARRIZO6,61,51,5.90
96,MINI/COOPER,82,50,-22.80
97,DFSK/V21,70,48,-13.10
98,BMW/X4,79,48,-23.00
99,PEUGEOT/PARTNER,85,47,-30.00
100,BMW/330E,120,47,-50.40
101,M.BENZ/CLASSE GLA,139,44,-59.90
102,VW/JETTA,145,44,-61.60
103,TOYOTA/RAV4,176,41,-70.50
104,BMW/X5,67,40,-24.40
105,VOLVO/C40,27,39,83.00
106,FORD/MUSTANG,39,38,23.40
107,PORSCHE/911,92,37,-49.10
108,PORSCHE/PANAMERA,44,36,3.60
109,GM/CRUZE HB,40,34,7.70
110,PORSCHE/BOXSTER,21,34,105.10
111,AUDI/A3 SEDAN,41,31,-4.20
112,JAC/E-JS1,39,30,-2.60
113,LAND ROVER/EVOQUE,79,29,-53.50
114,LAND ROVER/VELAR,66,29,-44.30
115,HONDA/CIVIC,76,28,-53.30
116,PEUGEOT/3008,42,28,-15.60
117,EFFA/V22,46,26,-28
